file,steps,details,size
.dockerignore,General/Simulation,"{""General/Simulation"": 1}",440
.env,Climate; General/Simulation,"{""Climate"": 5, ""General/Simulation"": 2}",5352
.env.example,General/Simulation,"{""General/Simulation"": 1}",1160
.env.template,Climate; Carbon & RothC; Monitoring & Calibration; General/Simulation,"{""Climate"": 1, ""Carbon & RothC"": 1, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",4511
alembic.ini,General/Simulation,"{""General/Simulation"": 1}",5166
analyze_local_code.py,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 25, ""Topography & DEM"": 18, ""Soil"": 18, ""Climate"": 21, ""Water Resources"": 20, ""Erosion (RUSLE)"": 10, ""Carbon & RothC"": 16, ""Plant Selection & Crop Modeling"": 19, ""Irrigation & Water Requirement"": 14, ""Hydraulic & Structure Design"": 16, ""Optimization & Scenario"": 15, ""Economy & Carbon MRV"": 12, ""Livelihood & Rural Development"": 11, ""Monitoring & Calibration"": 13, ""General/Simulation"": 12}",12750
centralize_models.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 2}",4605
CPP_INTEGRATION_GUIDE.md,Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Water Resources"": 1, ""Erosion (RUSLE)"": 2, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 1}",1838
create_test_db_module.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 1}",4743
DEMO_SCRIPT.md,Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 6, ""Climate"": 3, ""Water Resources"": 3, ""Carbon & RothC"": 14, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 3, ""Livelihood & Rural Development"": 1, ""General/Simulation"": 7}",12142
Dockerfile,Land Recognition & GIS; General/Simulation,"{""Land Recognition & GIS"": 2, ""General/Simulation"": 1}",963
ECONOMIC_MODEL.md,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 1, ""Climate"": 3, ""Water Resources"": 2, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 2, ""Optimization & Scenario"": 3, ""Economy & Carbon MRV"": 9, ""Monitoring & Calibration"": 3, ""General/Simulation"": 3}",10803
ECO_COIN_WHITEPAPER.md,Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Carbon & RothC"": 36, ""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",10648
final_fix_auth_models_dynamic.py,General/Simulation,"{""General/Simulation"": 1}",3194
fix_ai_conversation.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 1}",4422
fix_conftest_alias.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1}",1465
fix_database_models_dynamic.py,General/Simulation,"{""General/Simulation"": 1}",2741
fix_duplicate_models_clean.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1}",5377
