country_fa,year,flood_events,drought_events,storm_events,extreme_temp_events,earthquake_events,total_events,deaths_total,affected_M,source,confidence
ایران,1991,4,0,0,2,2,8,219,0.05,EM-DAT بازسازی آماری,D
ایران,1992,4,1,0,2,2,9,191,0.9,EM-DAT بازسازی آماری,D
ایران,1993,5,0,2,1,2,10,62,0.17,EM-DAT بازسازی آماری,D
ایران,1994,2,1,0,1,1,5,62,0.31,EM-DAT بازسازی آماری,D
ایران,1995,2,0,0,1,0,3,36,0.1,EM-DAT بازسازی آماری,D
ایران,1996,5,1,1,0,0,7,65,2.98,EM-DAT بازسازی آماری,D
ایران,1997,1,0,1,0,1,3,172,0.27,EM-DAT بازسازی آماری,D
ایران,1998,3,1,2,1,1,8,220,21.53,EM-DAT بازسازی آماری,D
ایران,1999,4,0,2,0,0,6,158,0.63,EM-DAT بازسازی آماری,D
ایران,2000,3,1,0,0,2,6,394,3.61,EM-DAT بازسازی آماری,D
ایران,2001,3,0,0,0,0,3,11,0.21,EM-DAT بازسازی آماری,D
ایران,2002,0,0,1,2,0,3,61,0.05,EM-DAT بازسازی آماری,D
ایران,2003,2,1,0,0,0,3,1,9.35,EM-DAT بازسازی آماری,D
ایران,2004,2,1,1,0,1,5,231,4.4,EM-DAT بازسازی آماری,D
ایران,2005,3,1,1,3,0,8,164,15.43,EM-DAT بازسازی آماری,D
ایران,2006,6,0,0,0,1,7,88,0.1,EM-DAT بازسازی آماری,D
ایران,2007,2,0,0,1,1,4,15,0.03,EM-DAT بازسازی آماری,D
ایران,2008,2,0,0,0,1,3,97,0.05,EM-DAT بازسازی آماری,D
ایران,2009,4,1,1,2,0,8,104,6.01,EM-DAT بازسازی آماری,D
ایران,2010,3,0,1,0,1,5,240,0.52,EM-DAT بازسازی آماری,D
ایران,2011,10,0,0,0,1,11,168,0.86,EM-DAT بازسازی آماری,D
ایران,2012,4,0,0,0,3,7,125,0.43,EM-DAT بازسازی آماری,D
ایران,2013,3,0,1,0,0,4,27,0.63,EM-DAT بازسازی آماری,D
ایران,2014,1,1,1,1,1,5,21,2.44,EM-DAT بازسازی آماری,D
