site_id,date,year,tmax_c,tmin_c,tavg_c,precip_mm,et0_mm,rad_mj_m2,wind_ms,rh_pct,gdd_base10
SITE001,2020-01-01,2020,14.1,-3.7,5.2,0.0,1.84,12.61,3.7,28.0,0.0
SITE001,2020-01-02,2020,10.5,-4.7,2.9,2.4,1.53,8.63,3.5,58.0,0.0
SITE001,2020-01-03,2020,14.4,-5.6,4.4,0.1,1.89,8.65,2.8,60.0,0.0
SITE001,2020-01-04,2020,16.7,-4.3,6.2,0.6,2.11,8.68,3.3,59.0,0.0
SITE001,2020-01-05,2020,16.8,-5.5,5.7,0.6,2.13,8.71,3.5,47.0,0.0
SITE001,2020-01-06,2020,17.5,-7.4,5.1,0.0,2.2,12.79,4.8,47.0,0.0
SITE001,2020-01-07,2020,15.4,-4.7,5.3,0.0,2.0,12.84,3.0,40.0,0.0
SITE001,2020-01-08,2020,17.0,-1.1,8.0,0.0,2.12,12.89,3.9,39.0,0.0
SITE001,2020-01-09,2020,15.6,-1.5,7.1,0.0,2.0,12.94,2.3,46.0,0.0
SITE001,2020-01-10,2020,11.6,1.0,6.3,0.0,1.53,12.99,5.0,32.0,0.0
SITE001,2020-01-11,2020,14.0,-4.3,4.8,0.0,1.9,13.04,3.7,39.0,0.0
SITE001,2020-01-12,2020,15.7,-5.3,5.2,0.0,2.08,13.1,2.8,22.0,0.0
SITE001,2020-01-13,2020,17.2,-5.2,6.0,0.0,2.23,13.16,3.5,43.0,0.0
SITE001,2020-01-14,2020,14.0,-4.5,4.7,1.1,1.93,9.03,2.5,34.0,0.0
SITE001,2020-01-15,2020,16.2,-3.7,6.2,0.3,2.14,9.07,3.8,46.0,0.0
SITE001,2020-01-16,2020,16.6,-0.4,8.1,0.9,2.14,9.12,4.7,61.0,0.0
SITE001,2020-01-17,2020,14.8,-0.9,7.0,0.5,1.98,9.16,3.7,47.0,0.0
SITE001,2020-01-18,2020,17.4,-0.2,8.6,0.3,2.25,9.21,1.9,56.0,0.0
SITE001,2020-01-19,2020,19.3,-3.3,8.0,0.3,2.5,9.26,2.7,41.0,0.0
SITE001,2020-01-20,2020,18.6,-3.5,7.6,0.0,2.44,13.64,4.4,29.0,0.0
SITE001,2020-01-21,2020,18.9,-6.9,6.0,0.7,2.5,9.37,2.3,35.0,0.0
SITE001,2020-01-22,2020,16.4,-7.2,4.6,0.0,2.26,13.8,2.3,46.0,0.0
SITE001,2020-01-23,2020,12.9,-4.6,4.1,0.4,1.91,9.48,2.7,55.0,0.0
SITE001,2020-01-24,2020,11.5,-9.4,1.1,0.8,1.81,9.53,4.5,45.0,0.0
SITE001,2020-01-25,2020,12.7,-2.5,5.1,0.0,1.89,14.05,2.3,57.0,0.0
SITE001,2020-01-26,2020,13.2,-2.0,5.6,0.0,1.94,14.14,3.3,39.0,0.0
SITE001,2020-01-27,2020,11.1,0.6,5.9,0.0,1.64,14.23,3.4,23.0,0.0
