File,Line,Content
analyze_project.py,201,"console_files, print_files, localhost_files = Counter(), Counter(), Counter()"
analyze_project.py,260,# --- localhost هاردکد ---
analyze_project.py,261,"for m in re.finditer(r""https?://(?:localhost|127\.0\.0\.1)[^\s\""'<>]*"", text):"
analyze_project.py,262,localhost_files[rel] += 1
analyze_project.py,272,"""print_files"": print_files, ""localhost_files"": localhost_files,"
analyze_project.py,594,"if scan[""localhost_files""]:"
analyze_project.py,595,"lh = "", "".join(f""`{f}` ({n})"" for f, n in scan[""localhost_files""].most_common(5))"
analyze_project.py,596,"A(f""- 🔗 localhost هاردکد در {len(scan['localhost_files'])} فایل: {lh}"")"
phase1_find_localhost.py,3,خروجی: فایل localhost_report.csv
phase1_find_localhost.py,13,r'(https?://)?(localhost|127\.0\.0\.1|0\.0\.0\.0)(:\d+)?'
phase1_find_localhost.py,28,"print(""[INFO] Scanning for hardcoded localhost instances..."")"
phase1_find_localhost.py,50,"output_file = os.path.join(base_dir, 'localhost_report.csv')"
contracts\hardhat.config.js,25,localhost: {
contracts\hardhat.config.js,26,"url: ""http://127.0.0.1:8545"","
engine\hydroma\biofertilizer\tests\test_nojin_comprehensive.py,360,"r = requests.get(""http://localhost:8000/api/nojin/health"", timeout=2)"
engine\hydroma\biofertilizer\tests\test_nojin_comprehensive.py,369,"r = requests.get(""http://localhost:8000/api/nojin/materials?limit=5"", timeout=2)"
engine\hydroma\config\settings.py,20,"app_host: str = ""127.0.0.1"""
engine\hydroma\config\settings.py,55,"cors_origins: list[str] = [""http://localhost:3000"", ""http://localhost:8000"", ""http://127.0.0.1:3000"""
frontend\playwright.config.ts,16,"baseURL: 'http://localhost:5173',"
frontend\playwright.config.ts,37,"url: 'http://localhost:5173',"
frontend\dist\assets\HyDroMaCenter-_8C0y8IU.js,1,"import{r as e}from""./rolldown-runtime-hePW80VL.js"";import{d as t,g as n}from""./vendor-antd-CvUYPCCJ."
frontend\dist\assets\index-5T_VNOZQ.js,3,"درباره‌ی کاربران، خطاها، مزارع، تحلیل‌ها یا وضعیت امنیتی بپرسید.`}]),[i,a]=(0,B.useState)(``),[o,s]="
frontend\dist\assets\ScientificChainPanel-DYeRoFr8.js,1,"import{r as e}from""./rolldown-runtime-hePW80VL.js"";import{g as t}from""./vendor-antd-CvUYPCCJ.js"";imp"
frontend\dist\assets\vendor-antd-CvUYPCCJ.js,148,"`]:{transform:`scale(0)`,opacity:0,animationTimingFunction:e.motionEaseOutCirc,""&-prepare"":{transfor"
frontend\dist\assets\vendor-react-CDWkAgbK.js,1,"import{r as e}from""./rolldown-runtime-hePW80VL.js"";import{g as t}from""./vendor-antd-CvUYPCCJ.js"";imp"
frontend\src\config.ts,8,export const API_BASE_URL: string = import.meta.env.VITE_API_BASE_URL ?? 'http://localhost:8000';
frontend\src\features\content-studio\constants\config.ts,13,'http://localhost:8000/api/v1';
frontend\src\features\eco-wallet\constants\config.ts,15,'http://localhost:8000/api/v1';
frontend\src\features\marketplace\constants\config.ts,13,'http://localhost:8000/api/v1';
frontend\src\features\security\constants\config.ts,11,'http://localhost:8000/api/v1';
frontend\src\lib\demApi.ts,9,const API_BASE = 'http://localhost:8000/api/v1';
frontend\src\pages\Visualization3D.tsx,50,const API_BASE = 'http://localhost:8000/api/v1';
frontend\src\pages\admin\AdminAudit.tsx,4,const API_BASE = 'http://localhost:8000/api/v1';
