site_id,month,tmax_c,tmin_c,tavg_c,precip_mm,et0_mm,dtr_c,rh_pct,sunshine_h_day,wind_ms
SITE001,1,14.1,-3.7,5.2,40.7,60.0,17.8,41.0,8.3,3.2
SITE001,2,15.7,-2.3,6.7,38.9,71.0,18.0,41.0,8.3,3.2
SITE001,3,19.2,2.4,10.8,51.3,108.0,16.8,44.0,8.1,3.2
SITE001,4,25.2,7.6,16.4,42.5,149.0,17.6,42.0,8.3,3.2
SITE001,5,31.9,12.1,22.0,19.5,206.0,19.8,36.0,8.7,3.2
SITE001,6,36.1,16.1,26.1,3.5,227.0,20.0,33.0,8.9,3.2
SITE001,7,37.6,17.6,27.6,0.9,239.0,20.0,32.0,9.0,3.2
SITE001,8,36.1,16.1,26.1,0.9,217.0,20.0,32.0,9.0,3.2
SITE001,9,32.0,12.0,22.0,2.7,167.0,20.0,33.0,9.0,3.2
SITE001,10,26.4,6.4,16.4,12.4,123.0,20.0,35.0,8.8,3.2
SITE001,11,19.6,2.0,10.8,42.5,76.0,17.6,42.0,8.3,3.2
SITE001,12,14.7,-1.3,6.7,60.2,57.0,16.0,46.0,8.0,3.2
SITE002,1,11.9,-5.9,3.0,29.9,54.0,17.8,41.0,8.3,3.2
SITE002,2,13.6,-4.4,4.6,28.6,64.0,18.0,41.0,8.3,3.2
SITE002,3,17.4,0.5,8.9,37.7,100.0,16.8,44.0,8.1,3.2
SITE002,4,23.7,6.0,14.8,31.2,142.0,17.6,42.0,8.3,3.2
SITE002,5,30.7,10.9,20.8,14.3,200.0,19.8,36.0,8.7,3.2
SITE002,6,35.1,15.1,25.1,2.6,222.0,20.0,33.0,8.9,3.2
SITE002,7,36.7,16.7,26.7,0.6,234.0,20.0,32.0,9.0,3.2
SITE002,8,35.1,15.1,25.1,0.6,212.0,20.0,32.0,9.0,3.2
SITE002,9,30.8,10.8,20.8,1.9,162.0,20.0,33.0,9.0,3.2
SITE002,10,24.8,4.9,14.8,9.1,117.0,20.0,35.0,8.8,3.2
SITE002,11,17.8,0.1,8.9,31.2,70.0,17.6,42.0,8.3,3.2
SITE002,12,12.6,-3.4,4.6,44.2,52.0,16.0,46.0,8.0,3.2
SITE003,1,12.3,-5.5,3.4,53.6,56.0,17.8,41.0,8.3,3.2
SITE003,2,14.0,-4.0,5.0,51.3,66.0,18.0,41.0,8.3,3.2
SITE003,3,17.7,0.9,9.3,67.6,102.0,16.8,44.0,8.1,3.2
SITE003,4,24.0,6.4,15.2,55.9,144.0,17.6,42.0,8.3,3.2
SITE003,5,31.0,11.2,21.1,25.6,201.0,19.8,36.0,8.7,3.2
SITE003,6,35.4,15.4,25.4,4.7,224.0,20.0,33.0,8.9,3.2
SITE003,7,37.0,17.0,27.0,1.2,236.0,20.0,32.0,9.0,3.2
