region_fa,scenario,period,delta_t_deg_c,delta_precip_pct,delta_t_extreme_deg,source,confidence
ایران,ssp126,2021-2040,2.2,-7.5,3.8,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp126,2041-2060,2.4,-8.0,4.1,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp126,2081-2100,2.1,-7.0,3.6,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp245,2021-2040,2.5,-8.5,4.3,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp245,2041-2060,3.2,-10.5,5.4,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp245,2081-2100,4.1,-13.5,6.9,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp370,2021-2040,2.7,-9.0,4.6,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp370,2041-2060,3.6,-12.0,6.1,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp370,2081-2100,5.4,-18.0,9.2,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp585,2021-2040,3.0,-10.0,5.1,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp585,2041-2060,4.1,-13.5,6.9,CMIP6/IPCC AR6 median تقریبی,C
ایران,ssp585,2081-2100,6.6,-22.0,11.2,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp126,2021-2040,2.2,-6.8,3.8,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp126,2041-2060,2.4,-7.3,4.1,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp126,2081-2100,2.1,-6.4,3.6,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp245,2021-2040,2.5,-7.7,4.3,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp245,2041-2060,3.2,-9.5,5.4,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp245,2081-2100,4.1,-12.3,6.9,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp370,2021-2040,2.7,-8.2,4.6,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp370,2041-2060,3.6,-10.9,6.1,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp370,2081-2100,5.4,-16.4,9.2,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp585,2021-2040,3.0,-9.1,5.1,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp585,2041-2060,4.1,-12.3,6.9,CMIP6/IPCC AR6 median تقریبی,C
خاورمیانه,ssp585,2081-2100,6.6,-20.0,11.2,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp126,2021-2040,2.1,-4.1,3.6,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp126,2041-2060,2.2,-4.4,3.8,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp126,2081-2100,2.0,-3.8,3.3,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp245,2021-2040,2.4,-4.6,4.0,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp245,2041-2060,2.9,-5.7,5.0,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp245,2081-2100,3.8,-7.4,6.4,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp370,2021-2040,2.5,-4.9,4.3,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp370,2041-2060,3.4,-6.5,5.7,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp370,2081-2100,5.0,-9.8,8.6,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp585,2021-2040,2.8,-5.5,4.8,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp585,2041-2060,3.8,-7.4,6.4,CMIP6/IPCC AR6 median تقریبی,C
آسیای مرکزی,ssp585,2081-2100,6.2,-12.0,10.5,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp126,2021-2040,2.0,2.0,3.3,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp126,2041-2060,2.1,2.2,3.5,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp126,2081-2100,1.8,1.9,3.1,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp245,2021-2040,2.2,2.3,3.8,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp245,2041-2060,2.7,2.9,4.6,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp245,2081-2100,3.5,3.7,6.0,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp370,2021-2040,2.3,2.5,4.0,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp370,2041-2060,3.1,3.3,5.3,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp370,2081-2100,4.7,4.9,8.0,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp585,2021-2040,2.6,2.7,4.4,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp585,2041-2060,3.5,3.7,6.0,CMIP6/IPCC AR6 median تقریبی,C
جنوب آسیا,ssp585,2081-2100,5.7,6.0,9.7,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp126,2021-2040,2.0,1.7,3.3,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp126,2041-2060,2.1,1.8,3.5,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp126,2081-2100,1.8,1.6,3.1,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp245,2021-2040,2.2,1.9,3.8,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp245,2041-2060,2.7,2.4,4.6,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp245,2081-2100,3.5,3.1,6.0,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp370,2021-2040,2.3,2.0,4.0,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp370,2041-2060,3.1,2.7,5.3,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp370,2081-2100,4.7,4.1,8.0,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp585,2021-2040,2.6,2.3,4.4,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp585,2041-2060,3.5,3.1,6.0,CMIP6/IPCC AR6 median تقریبی,C
شرق آسیا,ssp585,2081-2100,5.7,5.0,9.7,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp126,2021-2040,2.1,1.0,3.6,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp126,2041-2060,2.2,1.1,3.8,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp126,2081-2100,2.0,1.0,3.3,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp245,2021-2040,2.4,1.2,4.0,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp245,2041-2060,2.9,1.4,5.0,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp245,2081-2100,3.8,1.8,6.4,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp370,2021-2040,2.5,1.2,4.3,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp370,2041-2060,3.4,1.6,5.7,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp370,2081-2100,5.0,2.5,8.6,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp585,2021-2040,2.8,1.4,4.8,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp585,2041-2060,3.8,1.8,6.4,CMIP6/IPCC AR6 median تقریبی,C
اروپا,ssp585,2081-2100,6.2,3.0,10.5,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp126,2021-2040,2.1,0.7,3.6,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp126,2041-2060,2.2,0.7,3.8,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp126,2081-2100,2.0,0.6,3.3,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp245,2021-2040,2.4,0.8,4.0,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp245,2041-2060,2.9,1.0,5.0,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp245,2081-2100,3.8,1.2,6.4,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp370,2021-2040,2.5,0.8,4.3,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp370,2041-2060,3.4,1.1,5.7,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp370,2081-2100,5.0,1.6,8.6,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp585,2021-2040,2.8,0.9,4.8,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp585,2041-2060,3.8,1.2,6.4,CMIP6/IPCC AR6 median تقریبی,C
آمریکای شمالی,ssp585,2081-2100,6.2,2.0,10.5,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp126,2021-2040,1.8,-1.7,3.1,CMIP6/IPCC AR6 median تقریبی,C
