calendar_id,province,climate_zone,crop_fa,sow_start_m-d,sow_end_m-d,harvest_start_m-d,harvest_end_m-d,cycle_days,note_fa,confidence
CCIR0001,آذربایجان شرقی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0002,آذربایجان غربی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0003,اردبیل,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0004,البرز,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0005,تهران,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0006,خراسان جنوبی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0007,خراسان رضوی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0008,خراسان شمالی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0009,زنجان,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0010,سمنان,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0011,قزوین,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0012,قم,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0013,مرکزی,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0014,همدان,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0015,کردستان,سرد,گندم آبی,9-20,10-20,6-20,7-10,275,کاشت پاییزه؛ زمستان‌گذرانی,D
CCIR0016,آذربایجان شرقی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0017,آذربایجان غربی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0018,اردبیل,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0019,البرز,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0020,تهران,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0021,خراسان جنوبی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0022,خراسان رضوی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0023,خراسان شمالی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0024,زنجان,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0025,سمنان,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0026,قزوین,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
