species_id,scientific_name,crop_note_fa,kc_ini,kc_mid,kc_end,len_ini_d,len_dev_d,len_mid_d,len_late_d,base_temp_c,root_depth_m,harvest_index,ky_yield_response,p_depletion,cycle_days,param_source,confidence
W002,triticum aestivum,گندم آبی/دیم پاییزه,0.3,1.15,0.35,25,50,65,30,4.0,1.3,0.45,1.05,0.55,170,FAO-56/AquaCrop,C
W001,triticum durum,گندم دوروم,0.3,1.15,0.35,25,50,60,30,4.0,1.3,0.45,1.05,0.55,165,FAO-56/AquaCrop,C
W003,hordeum vulgare,جو پاییزه,0.3,1.15,0.25,20,45,60,25,4.0,1.2,0.46,1.0,0.55,150,FAO-56/AquaCrop,C
W012,oryza sativa,برنج (غرقاب),1.05,1.2,0.9,30,30,60,30,10.0,1.0,0.45,1.1,0.2,150,FAO-56/AquaCrop,C
W011,zea mays,ذرت دانه‌ای,0.3,1.2,0.6,25,40,50,30,10.0,1.5,0.48,1.25,0.55,145,FAO-56/AquaCrop,C
W006,sorghum bicolor,سورگوم دانه,0.35,1.1,0.55,20,35,45,30,10.0,1.8,0.38,0.9,0.55,130,FAO-56/AquaCrop,C
W102,panicum miliaceum,ارزن,0.35,1.0,0.3,15,25,40,25,10.0,1.5,0.35,0.9,0.55,105,FAO-56/AquaCrop,C
W101,avena sativa,جو دوسر,0.3,1.15,0.25,20,40,60,25,4.0,1.2,0.42,1.15,0.55,145,FAO-56/AquaCrop,C
W004,secale cereale,چاودار,0.3,1.15,0.25,20,45,60,25,4.0,1.4,0.44,1.1,0.55,150,FAO-56/AquaCrop,C
W098,gossypium hirsutum,پنبه,0.35,1.15,0.6,30,50,60,40,14.0,1.5,0.4,0.85,0.65,180,FAO-56/AquaCrop,C
W074,beta vulgaris,چغندرقند,0.35,1.2,0.75,30,45,90,25,6.0,1.0,0.75,1.0,0.55,190,FAO-56/AquaCrop,C
W071,solanum tuberosum,سیب‌زمینی,0.5,1.15,0.75,25,30,50,30,7.0,0.5,0.8,1.1,0.45,135,FAO-56/AquaCrop,C
W023,helianthus annuus,آفتابگردان,0.35,1.15,0.35,25,35,45,25,7.0,1.6,0.3,0.95,0.55,130,FAO-56/AquaCrop,C
W022,glycine max,سویا,0.4,1.15,0.5,20,35,50,25,10.0,1.2,0.42,0.85,0.5,130,FAO-56/AquaCrop,C
W065,medicago sativa,یونجه (هر چین),0.4,1.2,1.15,10,25,50,5,5.0,2.0,0.9,1.0,0.5,90,FAO-56/AquaCrop,C
W026,arachis hypogaea,بادام‌زمینی,0.4,1.15,0.6,25,35,45,25,14.0,1.0,0.4,0.7,0.5,130,FAO-56/AquaCrop,C
W024,carthamus tinctorius,گلرنگ,0.35,1.1,0.25,20,35,50,25,7.0,1.5,0.3,0.9,0.55,130,FAO-56/AquaCrop,C
W025,sesamum indicum,کنجد,0.35,1.1,0.35,20,30,45,20,15.0,1.3,0.3,0.9,0.55,115,FAO-56/AquaCrop,C
W027,brassica napus,کلزا,0.35,1.1,0.35,25,35,60,25,5.0,1.5,0.3,0.9,0.55,145,FAO-56/AquaCrop,C
W127,brassica oleracea,کلم,0.7,1.05,0.95,20,30,50,20,7.0,0.6,0.75,0.95,0.45,120,FAO-56/AquaCrop,C
W016,cicer arietinum,نخود,0.4,1.05,0.35,20,30,40,20,5.0,1.0,0.35,0.9,0.45,110,FAO-56/AquaCrop,C
W017,lens culinaris,عدس,0.4,1.05,0.3,20,30,40,20,5.0,1.0,0.35,1.0,0.5,110,FAO-56/AquaCrop,C
W021,vicia faba,باقلا,0.5,1.15,0.3,25,35,45,20,5.0,1.2,0.35,1.15,0.45,125,FAO-56/AquaCrop,C
W020,phaseolus vulgaris,لوبیا,0.4,1.05,0.3,20,30,40,15,10.0,0.9,0.35,1.15,0.45,105,FAO-56/AquaCrop,C
W019,vigna unguiculata,لوبیا چشم‌بلبلی,0.35,1.05,0.3,20,30,40,20,12.0,1.0,0.35,0.9,0.45,110,FAO-56/AquaCrop,C
W117,solanum lycopersicum,گوجه‌فرنگی,0.6,1.15,0.8,30,40,45,25,10.0,1.0,0.5,1.05,0.4,140,FAO-56/AquaCrop,C
W077,allium cepa,پیاز,0.7,1.05,0.75,15,25,70,30,10.0,0.4,0.85,1.1,0.35,140,FAO-56/AquaCrop,C
W076,daucus carota,هویج,0.7,1.05,0.95,20,30,60,20,8.0,0.7,0.8,1.0,0.35,130,FAO-56/AquaCrop,C
W118,cucumis sativus,خیار,0.6,1.0,0.75,20,25,35,15,15.0,0.7,0.7,0.9,0.5,95,FAO-56/AquaCrop,C
W120,cucumis melo,طالبی/خربزه,0.5,1.05,0.75,25,30,40,20,15.0,1.0,0.6,0.85,0.45,115,FAO-56/AquaCrop,C
W119,citrullus lanatus,هندوانه,0.4,1.0,0.75,20,30,40,20,15.0,1.0,0.5,0.8,0.45,110,FAO-56/AquaCrop,C
W121,solanum melongena,بادمجان,0.6,1.05,0.8,25,30,40,20,15.0,0.9,0.55,1.05,0.45,115,FAO-56/AquaCrop,C
W122,capsicum annuum,فلفل,0.6,1.05,0.8,25,35,40,20,15.0,1.0,0.5,1.0,0.45,120,FAO-56/AquaCrop,C
W126,spinacia oleracea,اسفناج,0.5,1.0,0.9,10,15,25,10,8.0,0.4,0.85,0.95,0.4,60,FAO-56/AquaCrop,C
W037,vitis vinifera,انگور,0.3,0.7,0.45,20,40,120,30,10.0,2.0,0.35,0.7,0.45,210,FAO-56/AquaCrop,C
W028,olea europaea,زیتون,0.65,0.7,0.7,30,60,120,30,10.0,1.8,0.25,0.7,0.6,240,FAO-56/AquaCrop,C
