site_id,year,tmax_avg_c,tmin_avg_c,tavg_c,precip_mm,et0_mm,gdd_base10,frost_days,heat_days_gt35,rh_mean_pct,wind_ms,sunshine_h_day,precip_anom_pct,temp_anom_c
SITE001,1991,25.5,6.9,15.8,362.3,1664.0,2617,63,31,41.0,3.0,8.2,15,-0.56
SITE001,1992,25.7,7.0,16.0,292.4,1683.0,2638,62,31,39.0,3.0,8.6,-7,-0.4
SITE001,1993,25.7,7.0,16.0,426.6,1661.0,2637,62,31,41.0,3.3,8.4,35,-0.41
SITE001,1994,25.6,7.0,15.9,171.3,1701.0,2634,62,31,38.0,3.0,8.8,-46,-0.44
SITE001,1995,25.7,7.0,16.0,375.6,1671.0,2640,62,32,40.0,3.2,8.5,19,-0.39
SITE001,1996,25.7,7.1,16.0,230.4,1695.0,2644,62,32,39.0,3.0,8.7,-27,-0.36
SITE001,1997,25.8,7.1,16.1,263.8,1693.0,2654,61,32,39.0,3.3,8.7,-17,-0.29
SITE001,1998,25.7,7.1,16.1,274.5,1690.0,2648,61,32,39.0,3.3,8.6,-13,-0.33
SITE001,1999,25.7,7.1,16.0,166.3,1706.0,2645,62,32,38.0,3.8,8.7,-47,-0.36
SITE001,2000,25.8,7.1,16.1,285.2,1690.0,2653,61,32,39.0,2.9,8.7,-10,-0.3
SITE001,2001,25.9,7.2,16.2,334.2,1687.0,2667,61,32,39.0,3.7,8.5,6,-0.19
SITE001,2002,25.9,7.3,16.2,341.3,1687.0,2670,61,32,39.0,3.2,8.7,8,-0.17
SITE001,2003,25.8,7.2,16.1,391.4,1675.0,2660,61,32,40.0,2.9,8.7,24,-0.24
SITE001,2004,25.8,7.1,16.1,250.9,1695.0,2653,61,32,39.0,3.0,8.5,-21,-0.3
SITE001,2005,25.9,7.3,16.2,141.3,1719.0,2670,61,32,37.0,2.9,9.0,-55,-0.17
SITE001,2006,25.9,7.3,16.3,253.8,1703.0,2675,61,32,38.0,3.4,8.5,-20,-0.13
SITE001,2007,26.0,7.4,16.3,766.3,1624.0,2686,60,33,42.0,3.3,7.8,142,-0.05
SITE001,2008,26.2,7.5,16.5,254.8,1714.0,2705,59,33,37.0,3.2,8.8,-19,0.09
SITE001,2009,26.3,7.6,16.6,317.0,1708.0,2716,59,33,37.0,3.6,8.6,0,0.17
SITE001,2010,26.2,7.6,16.6,234.7,1721.0,2715,59,33,37.0,2.9,8.8,-26,0.17
SITE001,2011,26.3,7.6,16.6,280.9,1716.0,2721,59,34,37.0,3.1,8.9,-11,0.21
SITE001,2012,26.3,7.6,16.6,313.5,1710.0,2721,59,34,37.0,3.6,8.7,-1,0.21
SITE001,2013,26.3,7.7,16.6,277.0,1719.0,2728,59,34,37.0,3.1,8.5,-12,0.26
SITE001,2014,26.4,7.8,16.7,339.3,1713.0,2740,58,34,37.0,3.0,8.6,7,0.36
SITE001,2015,26.5,7.8,16.8,287.8,1723.0,2743,58,34,36.0,3.0,8.6,-9,0.37
SITE001,2016,26.4,7.7,16.7,318.2,1714.0,2734,58,34,37.0,3.2,8.3,1,0.31
SITE001,2017,26.4,7.8,16.7,130.3,1746.0,2737,58,34,35.0,3.4,8.9,-59,0.33
SITE001,2018,26.3,7.7,16.6,225.0,1727.0,2728,59,34,36.0,3.3,8.8,-29,0.26
SITE001,2019,26.3,7.7,16.6,344.9,1706.0,2723,59,34,37.0,3.2,8.8,9,0.23
SITE001,2020,26.5,7.8,16.8,296.9,1721.0,2744,58,34,36.0,3.2,8.4,-6,0.38
SITE001,2021,26.4,7.8,16.7,251.1,1728.0,2741,58,34,36.0,3.6,8.8,-21,0.36
SITE001,2022,26.5,7.8,16.8,268.1,1728.0,2748,58,34,36.0,3.7,8.8,-15,0.41
SITE001,2023,26.6,7.9,16.9,199.4,1743.0,2758,58,34,35.0,2.9,9.0,-37,0.48
SITE001,2024,26.6,7.9,16.9,292.1,1728.0,2758,58,34,36.0,2.8,8.4,-8,0.49
SITE002,1991,24.1,5.5,14.4,267.6,1601.0,2339,97,23,40.0,3.5,8.4,15,-0.42
SITE002,1992,24.1,5.4,14.4,362.6,1578.0,2331,97,23,42.0,3.2,8.2,56,-0.48
SITE002,1993,24.1,5.5,14.4,153.2,1625.0,2338,97,23,39.0,3.6,8.8,-34,-0.42
SITE002,1994,24.2,5.6,14.6,77.8,1646.0,2353,96,23,37.0,2.5,9.0,-66,-0.3
SITE002,1995,24.3,5.6,14.6,76.2,1648.0,2355,95,23,37.0,3.6,8.7,-67,-0.28
SITE002,1996,24.2,5.6,14.5,315.6,1596.0,2351,96,23,40.0,3.0,8.1,36,-0.31
SITE002,1997,24.3,5.6,14.6,266.7,1608.0,2356,95,23,40.0,3.5,8.5,15,-0.27
SITE002,1998,24.4,5.7,14.7,184.7,1629.0,2365,95,24,38.0,3.2,8.7,-20,-0.19
SITE002,1999,24.4,5.7,14.7,213.8,1624.0,2368,95,24,38.0,2.9,8.5,-8,-0.17
SITE002,2000,24.4,5.8,14.7,139.9,1642.0,2374,94,24,37.0,3.4,8.7,-40,-0.12
SITE002,2001,24.3,5.6,14.6,131.2,1636.0,2355,95,23,38.0,3.5,8.7,-43,-0.28
SITE002,2002,24.3,5.6,14.6,352.9,1590.0,2356,95,23,41.0,3.1,8.2,52,-0.27
SITE002,2003,24.4,5.7,14.7,345.5,1597.0,2368,95,24,40.0,3.0,8.3,49,-0.17
SITE002,2004,24.3,5.6,14.6,267.5,1608.0,2357,95,23,40.0,3.3,8.4,15,-0.27
SITE002,2005,24.2,5.6,14.5,128.0,1634.0,2348,96,23,38.0,3.2,9.1,-45,-0.34
SITE002,2006,24.3,5.7,14.6,160.5,1633.0,2362,95,24,38.0,3.8,8.7,-31,-0.22
SITE002,2007,24.4,5.8,14.8,213.3,1628.0,2377,94,24,38.0,3.3,8.5,-8,-0.1
SITE002,2008,24.5,5.9,14.8,264.9,1622.0,2388,93,24,38.0,2.9,8.5,14,-0.01
SITE002,2009,24.4,5.8,14.7,292.7,1611.0,2375,94,24,39.0,3.3,8.5,26,-0.11
SITE002,2010,24.5,5.9,14.8,202.8,1633.0,2383,94,24,38.0,3.5,8.5,-13,-0.04
SITE002,2011,24.5,5.9,14.9,182.2,1640.0,2388,93,24,37.0,3.4,8.7,-21,0.0
SITE002,2012,24.6,6.0,14.9,201.6,1638.0,2395,93,24,37.0,3.5,8.9,-13,0.06
SITE002,2013,24.6,6.0,14.9,216.4,1636.0,2398,93,24,37.0,3.8,8.7,-7,0.08
SITE002,2014,24.7,6.1,15.0,192.3,1646.0,2409,92,24,37.0,3.2,8.8,-17,0.17
SITE002,2015,24.8,6.2,15.1,226.6,1645.0,2423,91,25,37.0,2.9,8.5,-2,0.29
SITE002,2016,24.9,6.2,15.2,296.1,1632.0,2428,91,25,37.0,2.9,8.2,28,0.33
SITE002,2017,24.9,6.3,15.2,152.9,1665.0,2434,91,25,35.0,3.2,8.8,-34,0.38
SITE002,2018,24.9,6.3,15.2,246.7,1644.0,2433,91,25,37.0,3.6,8.6,6,0.37
SITE002,2019,24.9,6.3,15.3,376.2,1619.0,2437,90,25,38.0,3.1,8.3,62,0.41
SITE002,2020,25.0,6.4,15.3,143.8,1671.0,2444,90,25,35.0,3.2,8.7,-38,0.46
SITE002,2021,25.0,6.4,15.3,144.6,1671.0,2445,90,25,35.0,3.0,8.7,-38,0.48
SITE002,2022,25.1,6.4,15.4,118.2,1679.0,2450,90,25,34.0,2.9,8.9,-49,0.51
SITE002,2023,25.1,6.5,15.4,240.1,1655.0,2456,89,25,36.0,3.4,9.0,3,0.56
SITE002,2024,25.2,6.6,15.5,191.4,1670.0,2467,89,26,35.0,3.2,8.7,-17,0.66
SITE003,1991,24.1,5.5,14.4,453.6,1607.0,2366,93,25,41.0,3.1,8.2,9,-0.76
SITE003,1992,24.2,5.6,14.5,558.0,1600.0,2379,93,25,42.0,3.0,8.3,34,-0.66
SITE003,1993,24.3,5.7,14.6,456.0,1615.0,2387,92,25,41.0,3.4,8.5,10,-0.6
SITE003,1994,24.4,5.8,14.7,223.8,1648.0,2401,91,26,39.0,2.9,8.7,-46,-0.48
SITE003,1995,24.5,5.8,14.8,403.5,1629.0,2406,91,26,40.0,3.2,8.6,-3,-0.44
SITE003,1996,24.5,5.8,14.8,374.9,1634.0,2409,91,26,39.0,2.7,8.6,-10,-0.41
SITE003,1997,24.6,6.0,15.0,372.7,1642.0,2429,90,26,39.0,2.7,8.6,-10,-0.25
